id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-S3-AA10	0.015473837	0.017576879	0.02076199	0.139954907	0	0.0962183	0.052667135	0.086645552	0.078538278	0	0	0.061617666	0	0.179584583	0.152484568	0.063539721	0	0.002969188	0.031967395	0	0	0
TCGA-D8-A1XA	0.03327035	0	0	0.026703516	0	0.109666637	0	0.021371084	0.02640667	0	0	0.0097302	0	0.424149793	0.064726781	0.14655342	0	0	0.117382888	0	0	0.02003866
TCGA-E9-A1N6	0	0.000446238	0	0.069394178	0	0.015528773	0.000968741	0.023623738	0.026061132	0.008796723	0	0	0	0.520528443	0.020664355	0.233804813	0.001716185	0	0.078466681	0	0	0
TCGA-BH-A1ES	0.042689865	0	0.012387725	0.00851654	0	0.222051938	0	0.009231685	0	0	0.009023227	0	0	0.251544158	0.01514096	0.263072093	0.003427893	0.058814155	0.073923883	0	0	0.030175876
TCGA-AQ-A1H3	0.103344506	0	0.001901018	0.097662791	0	0.329319652	0	0.028182521	0	0.023082545	0	0	0	0.04466428	0.098095903	0.098750639	0.140559102	0.007091166	0.027345878	0	0	0
TCGA-D8-A1XG	0	0.003528081	0	0	0	0.189827083	0	0	0.03021924	0	0.015431981	0.032104702	0.011392782	0.181014045	0.022437055	0.219325288	0.010372036	0	0.284347706	0	0	0
TCGA-GM-A3XG	0.110723616	0	0.066835434	0.051772583	0	0.047380304	0	0.053189239	0.010096187	0.007805008	0	0	0	0.403616134	0.046656665	0.169973778	0	0	0.031951052	0	0	0
TCGA-OL-A5D7	0.059869085	0	0.052794256	0.163280118	0	0.171634447	0.075367405	0.080196744	0.0964347	0	0	0.001418327	0.003727947	0.068186844	0.121639921	0.080387596	0.003137835	0.003675548	0.016830841	0	0	0.001418387
TCGA-C8-A12Y	0.017228315	0	0.073985815	0.119739926	0	0.03158638	0	0.061484633	0.056015925	0	0	0.088092698	0.007875756	0.093196021	0.124910179	0.151673935	0.014931545	0	0.159278871	0	0	0
TCGA-B6-A400	0.003671501	0	0	0.024668153	0	0.081086983	0.006011435	0.060832211	0.040728675	0	0.014667195	0	0	0.386186063	0.052268618	0.056417054	0.166292997	0.107169116	0	0	0	0
TCGA-D8-A1JS	0	0.023779147	0.007888066	0.099663115	0	0.046474468	0	0.040033684	0.027873371	0.012660489	0	0	0.010167453	0.402755857	0.054980439	0.168992639	0.023245897	0	0.081485374	0	0	0
TCGA-BH-A18R	0.085186872	0	0.046454959	0.085883454	0	0.176453437	0.072849015	0.056259588	0	0	0	0.011588401	0.020741999	0.033522609	0.088499084	0.146929841	0.093658881	0	0.081971861	0	0	0
