id	group
TCGA-AQ-A7U7	low
TCGA-BH-A18U	low
TCGA-BH-A1EN	high
TCGA-GM-A2DD	low
TCGA-A7-A13H	low
TCGA-EW-A6S9	high
TCGA-AO-A0JJ	low
TCGA-OL-A6VO	low
TCGA-D8-A1JH	high
TCGA-BH-A0HP	high
TCGA-BH-A0DH	low
TCGA-S3-AA14	high
TCGA-C8-A12U	low
TCGA-E9-A22H	low
TCGA-A8-A07J	low
TCGA-EW-A1OX	low
TCGA-OL-A5RV	low
TCGA-AR-A0TP	low
TCGA-EW-A1P6	high
TCGA-C8-A274	low
TCGA-BH-A1F0	high
TCGA-D8-A1XM	high
TCGA-D8-A145	low
TCGA-BH-A0BQ	low
TCGA-A8-A08J	high
TCGA-D8-A3Z5	low
TCGA-E9-A1R0	low
TCGA-AR-A1AW	low
TCGA-D8-A27H	high
TCGA-A7-A26E	low
TCGA-A2-A0CO	low
TCGA-E2-A1IE	high
TCGA-E2-A1IF	low
TCGA-D8-A1XY	high
TCGA-LL-A6FR	low
TCGA-A8-A06R	low
TCGA-AR-A2LN	low
TCGA-GM-A2DO	low
TCGA-A2-A1FX	low
TCGA-E2-A15K	high
TCGA-EW-A1PG	high
TCGA-A1-A0SP	low
TCGA-EW-A1PA	low
TCGA-B6-A0WZ	low
TCGA-OL-A66J	low
TCGA-AC-A6IV	high
TCGA-BH-A0H9	high
TCGA-A2-A0YI	low
TCGA-A2-A0YM	high
TCGA-E9-A1NI	high
TCGA-BH-A0H7	high
TCGA-BH-A0BJ	low
TCGA-LQ-A4E4	high
TCGA-C8-A137	high
TCGA-4H-AAAK	high
TCGA-A7-A0CH	low
TCGA-E2-A14R	low
TCGA-A2-A04T	low
TCGA-EW-A2FS	low
TCGA-E2-A14Y	high
TCGA-GI-A2C8	low
TCGA-A8-A07F	high
TCGA-A8-A07E	high
TCGA-A2-A0SU	high
TCGA-A2-A0D3	high
TCGA-EW-A1PB	low
TCGA-AR-A0TZ	low
TCGA-AO-A0JF	low
TCGA-AO-A0JE	high
TCGA-AR-A1AJ	low
TCGA-A2-A04X	low
TCGA-BH-A18G	high
TCGA-E9-A3Q9	low
TCGA-E2-A574	high
TCGA-E9-A247	low
TCGA-AO-A12F	high
TCGA-AO-A12E	low
TCGA-A7-A26J	low
TCGA-E2-A15T	low
TCGA-A8-A07W	high
TCGA-AR-A2LH	high
TCGA-E9-A249	low
TCGA-A8-A06Y	high
TCGA-E2-A158	high
TCGA-D8-A1XR	high
TCGA-A8-A08F	high
TCGA-A2-A0CS	high
TCGA-C8-A130	high
TCGA-C8-A12N	high
TCGA-BH-A0H0	high
TCGA-E2-A1IL	high
TCGA-D8-A1Y0	low
TCGA-B6-A0RV	low
TCGA-E2-A14V	high
TCGA-AR-A24T	high
TCGA-A7-A2KD	low
TCGA-AR-A24X	low
TCGA-BH-A8FZ	low
TCGA-B6-A0IJ	low
TCGA-BH-A18H	low
TCGA-PE-A5DC	high
TCGA-BH-AB28	high
TCGA-AN-A0FT	high
TCGA-B6-A3ZX	low
TCGA-D8-A1XO	low
TCGA-LL-A5YN	low
TCGA-B6-A0X5	high
TCGA-A2-A0CM	high
TCGA-A7-A0CG	high
TCGA-C8-A26V	high
TCGA-E9-A1N5	low
TCGA-D8-A1JC	high
TCGA-E2-A15P	low
TCGA-B6-A2IU	high
TCGA-E9-A1ND	low
TCGA-A8-A07L	high
TCGA-A8-A0A4	low
TCGA-A2-A0YD	high
TCGA-A8-A06O	high
TCGA-AO-A0JL	high
TCGA-AN-A0FK	low
TCGA-E9-A54Y	low
TCGA-GM-A5PX	high
TCGA-B6-A0RO	high
TCGA-E2-A14O	high
TCGA-A2-A04P	low
TCGA-A2-A259	high
TCGA-EW-A1OZ	high
TCGA-EW-A1PH	high
TCGA-A2-A4S3	high
TCGA-A2-A1G1	high
TCGA-D8-A1JU	high
TCGA-AR-A24K	high
TCGA-A7-A425	low
TCGA-BH-A8G0	low
TCGA-B6-A1KF	high
TCGA-BH-A1EU	low
TCGA-BH-A18N	high
TCGA-E9-A226	high
TCGA-E2-A1LL	high
TCGA-OL-A66L	low
TCGA-D8-A1X5	high
TCGA-D8-A27G	high
TCGA-E2-A10F	low
TCGA-E2-A10E	high
TCGA-B6-A0IE	low
TCGA-A2-A0EW	low
TCGA-BH-A0HK	low
TCGA-BH-A0EE	high
TCGA-D8-A1XD	high
TCGA-BH-A0W5	low
TCGA-OL-A5RY	low
TCGA-EW-A2FR	high
TCGA-LL-A9Q3	low
TCGA-BH-A204	high
TCGA-EW-A424	low
TCGA-E9-A5FK	low
TCGA-GI-A2C9	low
TCGA-OL-A6VR	high
TCGA-A2-A0D2	low
TCGA-A2-A0CR	low
TCGA-LL-A50Y	low
TCGA-E2-A159	low
TCGA-B6-A0WX	low
TCGA-A7-A4SD	high
TCGA-AO-A03T	low
TCGA-A8-A09E	high
TCGA-AC-A2FK	low
TCGA-AQ-A0Y5	high
TCGA-BH-A0BL	low
TCGA-XX-A89A	high
TCGA-BH-A0AW	low
TCGA-D8-A1JA	high
TCGA-A2-A1FZ	low
TCGA-BH-A0DG	high
TCGA-E9-A22G	low
TCGA-C8-A131	high
TCGA-E9-A22A	high
TCGA-B6-A0WT	low
TCGA-D8-A1Y1	high
TCGA-AN-A0XV	high
TCGA-E9-A1R7	high
TCGA-GM-A2DM	low
TCGA-LD-A66U	low
TCGA-AR-A1AL	low
TCGA-GM-A2DI	low
TCGA-B6-A0IQ	low
TCGA-EW-A1P3	low
TCGA-Z7-A8R5	low
TCGA-A2-A1G0	low
TCGA-AN-A0XO	low
TCGA-A2-A0CY	high
TCGA-AC-A3TN	low
TCGA-B6-A0RS	high
TCGA-AR-A0TX	low
TCGA-A8-A09Q	high
TCGA-C8-A1HK	high
TCGA-A7-A6VW	high
TCGA-E9-A22B	high
TCGA-BH-A0GY	low
TCGA-BH-A0HX	low
TCGA-AC-A62Y	low
TCGA-C8-A138	low
TCGA-D8-A1JB	low
TCGA-AR-A0TT	low
TCGA-BH-A0RX	high
TCGA-A2-A0T5	low
TCGA-A2-A0EQ	low
TCGA-B6-A0X1	low
TCGA-AC-A4ZE	high
TCGA-V7-A7HQ	low
TCGA-BH-A18Q	high
TCGA-AC-A2FO	low
TCGA-B6-A0WV	low
TCGA-C8-A27A	low
TCGA-E9-A1RI	high
TCGA-B6-A402	high
TCGA-AO-A12B	low
TCGA-A2-A0CP	low
TCGA-C8-A12W	high
TCGA-GM-A2D9	low
TCGA-A8-A08B	high
TCGA-AO-A03V	low
TCGA-AN-A0AJ	low
TCGA-S3-AA12	high
TCGA-BH-A28Q	high
TCGA-E9-A1N8	high
TCGA-E2-A1IG	low
TCGA-BH-A1FM	high
TCGA-A7-A0D9	high
TCGA-EW-A1OY	high
TCGA-AO-A0JB	low
TCGA-A2-A0YT	high
TCGA-EW-A1PE	high
TCGA-AR-A1AU	low
TCGA-EW-A1PF	high
TCGA-AR-A2LL	high
TCGA-A8-A07B	high
TCGA-E9-A5UP	high
TCGA-A8-A093	high
TCGA-D8-A147	low
TCGA-B6-A40B	low
TCGA-AR-A0TV	low
TCGA-AO-A12A	low
TCGA-B6-A1KN	low
TCGA-C8-A27B	low
TCGA-BH-A0B6	low
TCGA-AN-A0FD	low
TCGA-LL-A442	low
TCGA-BH-A18F	low
TCGA-BH-A8FY	high
TCGA-C8-A1HO	low
TCGA-A2-A0YK	low
TCGA-A2-A3XU	high
TCGA-A1-A0SD	low
TCGA-A8-A08G	high
TCGA-A8-A082	high
TCGA-AR-A24S	high
TCGA-EW-A6SD	high
TCGA-E2-A1L6	low
TCGA-A2-A0T0	high
TCGA-AO-A0JG	low
TCGA-AN-A0FS	high
TCGA-E2-A15M	high
TCGA-AO-A0JA	low
TCGA-BH-A0BC	low
TCGA-E2-A15I	low
TCGA-C8-A12Q	high
TCGA-A8-A07G	high
TCGA-AO-A0J2	high
TCGA-AO-A03O	low
TCGA-E2-A576	low
TCGA-LL-A7SZ	low
TCGA-A8-A07C	low
TCGA-BH-A0BG	high
TCGA-D8-A1XK	low
TCGA-E2-A1B4	high
TCGA-A2-A0EN	low
TCGA-AO-A126	high
TCGA-BH-A0BA	high
TCGA-BH-A203	high
TCGA-EW-A423	low
TCGA-AO-A0JC	low
TCGA-A2-A0CZ	low
TCGA-E9-A6HE	low
TCGA-A8-A06T	high
TCGA-D8-A1JL	low
TCGA-C8-A3M8	high
TCGA-BH-A0H5	low
TCGA-A2-A0SW	high
TCGA-C8-A135	high
TCGA-AC-A3HN	low
TCGA-A8-A06X	high
TCGA-EW-A1J3	high
TCGA-A8-A086	high
TCGA-E2-A1LA	low
TCGA-AC-A3QP	low
TCGA-D8-A27L	low
TCGA-A8-A07U	high
TCGA-A8-A08C	high
TCGA-E2-A1LG	high
TCGA-AR-A0TS	high
TCGA-BH-A0GZ	low
TCGA-E2-A14X	high
TCGA-A8-A076	high
TCGA-AR-A24V	high
TCGA-E2-A14T	low
TCGA-AO-A12C	high
TCGA-B6-A0RT	low
TCGA-B6-A0IN	low
TCGA-AO-A0J6	high
TCGA-E2-A572	low
TCGA-A2-A04Y	low
TCGA-BH-A1FR	low
TCGA-EW-A1P4	high
